Data Provider,Short Name,Version,Entry Title,Processing Level,Platforms,Start Time,End Time
ASF,AIRSAR_INT_JPG,1,AIRSAR_ALONGTRACK_INTERFEROMETRY_JPG,1,DC-8,1998-10-25T00:00:00.000Z,2004-03-05T23:59:59.000Z
ASF,AIRSAR_POL_3FP,1,AIRSAR_POLSAR_3_FREQ_POLARIMETRY,1,DC-8,1990-03-02T00:00:00.000Z,2004-03-21T23:59:59.000Z
ASF,AIRSAR_POL_SYN_3FP,1,AIRSAR_POLSAR_SYNOPTIC_3_FREQ_POLARIMETRY,1,DC-8,1990-03-29T00:00:00.000Z,1991-07-16T23:59:59.000Z
ASF,AIRSAR_TOP_C-DEM_STOKES,1,AIRSAR_TOPSAR_C-BAND_DEM_AND_STOKES,1,DC-8,1993-06-08T00:00:00.000Z,2004-12-04T23:59:59.000Z
ASF,AIRSAR_TOP_DEM,1,AIRSAR_TOPSAR_DEM,1,DC-8,1993-06-08T00:00:00.000Z,2004-12-04T23:59:59.000Z
ASF,AIRSAR_TOP_DEM_C,1,AIRSAR_TOPSAR_DEM_C,1,DC-8,1993-06-08T00:00:00.000Z,2004-12-04T23:59:59.000Z
ASF,AIRSAR_TOP_DEM_L,1,AIRSAR_TOPSAR_DEM_L,1,DC-8,1993-06-08T00:00:00.000Z,2004-12-04T23:59:59.000Z
ASF,AIRSAR_TOP_DEM_P,1,AIRSAR_TOPSAR_DEM_P,1,DC-8,1993-06-08T00:00:00.000Z,2004-12-04T23:59:59.000Z
ASF,AIRSAR_TOP_L-STOKES,1,AIRSAR_TOPSAR_L-BAND_STOKES,1,DC-8,1993-06-08T00:00:00.000Z,2004-12-04T23:59:59.000Z
ASF,AIRSAR_TOP_P-STOKES,1,AIRSAR_TOPSAR_P-BAND_STOKES,1,DC-8,1993-06-08T00:00:00.000Z,2004-12-04T23:59:59.000Z
ASF,ALOS_AVNIR_OBS_ORI,2,ALOS AVNIR-2 Ortho Rectified Image Product,2,ALOS,2006-01-23T00:00:00.000Z,2011-05-23T00:00:00.000Z
ASF,ALOS_PSR_RTC_HIGH,1,ALOS PALSAR High Resolution Radiometric Terrain Corrected Product,2,ALOS,2006-03-23T16:10:55.000Z,2011-04-22T20:23:36.000Z
